"Code","Entity","region","continent","pop","per_cap_beef_kg_co2eq","per_cap_pork_kg_co2eq","per_cap_sheep_goat_kg_co2eq","per_cap_poultry_kg_co2eq","total_beef_kg_co2eq","total_pork_kg_co2eq","total_sheep_goat_kg_co2eq","total_poultry_kg_co2eq","impute_flag_per_cap_beef_kg_co2eq","impute_flag_per_cap_pork_kg_co2eq","impute_flag_per_cap_sheep_goat_kg_co2eq","impute_flag_per_cap_poultry_kg_co2eq","impute_per_cap_poultry_kg_co2eq"
"LBN","Lebanon","West Asia","Asia",5592626,832.53119751,8.124606155,56.005235748,214.37654805,4656035621.00556,45437883.622213,313216337.580394,1198927856.41468,"","","","",""
"LBR","Liberia","West Africa","Africa",5193422,47.8007820747,61.54997538,16.2851928504,123.27625065,248249633.243953,319654996.23795,84575878.8235101,640225592.203224,"","","","",""
"LBY","Libya","North Africa","Africa",6735280,297.4272,0.9848,245.4696,379.1067,2003255471.616,6632903.744,1653306487.488,2553389774.376,"","","","",""
"LCA","Saint Lucia","Caribbean","Americas",179663,695.05297638,196.45338195,76.25687892,604.49374629,124875302.89536,35295403.9612829,13700539.637404,108605159.9397,"","","","",""
"LIE","Liechtenstein","Central Europe","Europe",39058,731.61793278,536.1001307,11.1216023832,174.00807039,28575533.2185212,20938998.9048806,434387.545883026,6796407.21329262,"*","*","*","*","*"
"LKA","Sri Lanka","South Asia","Asia",21773438,83.651406639,1.1079001231,3.17760023832,104.22720987,1821378716.06705,24122794.6405102,69187281.7778457,2269384692.01743,"","","","",""
"LSO","Lesotho","Southern Africa","Africa",2281464,187.882538175,64.99640608,15.4907034804,103.43695845,428647247.074888,148286960.600901,35341482.3252073,235987696.973171,"","","","",""
"LTU","Lithuania","Northern Europe","Europe",2786652,359.83353444,642.82774453,16.6823864952,245.0719026,1002730838.41429,1791337219.95001,46488005.6916221,682930107.524095,"","","","",""
"LUX","Luxembourg","Western Europe","Europe",639330,2036.81346558,422.8418526,44.088508872,185.84919822,1302195952.94926,270335481.622758,28187106.3771358,118818967.897993,"","","","",""
"LVA","Latvia","Northern Europe","Europe",1873926,329.95723776,528.8358766,13.1075590884,250.1050104,618315446.726646,990999298.893532,24562595.7722891,468678281.71883,"","","","",""
"MAC","Macao","East Asia","Asia",686616,900.24049959,670.27364044,44.486010744,380.4851442,618119530.866488,460220605.904351,30544806.7530023,261247187.770027,"","","","",""
"MAR","Morocco","North Africa","Africa",37076588,515.186287137,0.24619992614,199.79156028,172.72496052,19101349711.4282,9128253.22712321,7407589366.37873,6404052198.5163,"","","","",""
"MDA","Moldova","Southeast Europe","Europe",3061509,175.529563323,296.62723795,3.98796172032,243.36480714,537385337.879434,908126958.629067,12209180.6984152,745063547.342374,"","","","",""
"MDG","Madagascar","East Africa","Africa",28915652,79.004093361,8.2476995076,6.3551992056,30.300897039,2284454870.20219,238487608.762333,183764728.619806,876170194.067554,"","","","",""
"MDV","Maldives","South Asia","Asia",521469,618.0802776,8.1244601584,46.074401628,173.70900939,322309704.279794,4236654.11434069,24026372.1425515,90583863.4175939,"","","","",""
"MEX","Mexico","North America","Americas",126705136,1012.44756639,249.2775,33.3648011916,379.6989,128282306592.314,31584739539.24,4227491672.59464,48109800763.5504,"","","","",""
"MKD","North Macedonia","Southeast Europe","Europe",2103329,555.02059917,191.54369848,17.0796087384,163.05247896,1167390921.83164,402879415.78024,35924036.3681301,342953007.518458,"","","","",""
"MLI","Mali","West Africa","Africa",21904990,171.950013693,0.8616996307,34.9535857008,26.747688156,3766563330.44503,18875521.7934872,765657945.240167,585907841.580298,"","","","",""
"MLT","Malta","Southern Europe","Europe",526751,1153.19217552,303.44090912,33.3647348592,239.24834598,607445131.647336,159837802.319869,17574907.4518185,126024305.493311,"","","","",""
"MMR","Myanmar","Southeast Asia","Asia",53798088,172.613960166,61.42688769,8.738398014,120.11788026,9286301019.03896,3304649109.51274,470109105.336197,6462112292.60094,"","","","",""
"MNE","Montenegro","Southeast Europe","Europe",627856,829.88024481,683.4555085,73.482468696,182.30004492,521045290.985427,429111641.744776,46136408.8655958,114458177.003292,"","","","",""
"MNG","Mongolia","East Asia","Asia",3347782,1759.99790415,27.328185228,2573.0600112,53.594065455,5892089303.5511,91488806.5989643,8614043990.41516,179421247.637071,"","","","",""
"MOZ","Mozambique","East Africa","Africa",32077074,49.7924960166,47.885895076,3.57479984112,55.666794078,1597197579.36918,1536039399.90909,114669119.038794,1785627872.98277,"","","","",""
"MRT","Mauritania","West Africa","Africa",4614981,460.081611204,18.588097538,503.64844812,74.518327275,2123267894.15585,85783716.9640168,2324328018.75329,343900664.525907,"","*","","",""
"MUS","Mauritius","Africa Islands","Africa",1298922,418.25314938,43.330801156,105.65422686,404.0740494,543278217.298968,56283330.8991538,137236599.661445,524860672.394747,"","","","",""
"MWI","Malawi","East Africa","Africa",19889742,203.153380083,192.65148769,131.075988084,53.495396052,4040668316.27881,3831788386.07028,2607067585.38583,1064009625.6621,"","","","",""
"MYS","Malaysia","Southeast Asia","Asia",33573872,490.6221,89.2475,38.9256,490.1442,16472083585.7712,2996384141.32,1306883111.9232,16456038632.3424,"","","","",""
"NAM","Namibia","Southern Africa","Africa",2530150,568.2984,75.9527,159.2772,133.24499013,1437880196.76,192171723.905,402995207.58,337129811.777419,"","","","",""
"NER","Niger","Central Africa","Africa",25252722,183.236386722,0.8617,79.042796028,9.5738997039,4627217534.17516,21760270.5474,1996045754.19779,241767027.678469,"","","","",""
"NGA","Nigeria","West Africa","Africa",213401328,104.232293361,18.464998769,76.262392056,11.153099013,22243309823.723,3940455258.82297,16274495741.207,2380086140.68969,"","","","",""
"NIC","Nicaragua","Central America","Americas",6850546,153.36076722,75.337133526,0.39719964252,225.2332026,1050604990.4359,516100498.728005,2721034.42226682,1542970415.13862,"","","","",""
"NIU","Niue","Oceania Islands","Oceania",1957,462.024162687,175.7757302325,36.541844913,307.780093845,904181.286378459,343993.104065002,71512.390494741,602325.643654665,"*","*","*","*","*"
"NLD","Netherlands","Western Europe","Europe",17501696,1105.39369917,388.74987386,33.762007944,120.61141974,19346264483.1888,6803782112.33607,590892399.385473,2110904402.41788,"","","","",""
"NOR","Norway","Northern Europe","Europe",5403021,1274.68780083,340.24832614,187.47836028,214.47506052,6887164956.32831,1838368851.34927,1012949517.63841,1158813255.96583,"","","","",""
"NPL","Nepal","South Asia","Asia",30034988,416.265333195,12.925501231,97.314011916,74.715905922,12502524287.3278,388217274.36707,2922825180.12892,2244091337.7764,"","","","",""
"NRU","Nauru","Oceania Islands","Oceania",12533,1846.23114486,456.1086428,171.275511756,528.4551972,23138814.9385304,5716409.6202124,2146595.98883795,6623128.9865076,"","","","",""
"NZL","New Zealand","Oceania Main","Oceania",5129730,1171.1196,335.2013,479.8176,238.1631,6007527345.708,1719492164.649,2461334737.248,1221712398.963,"","","","",""
"OMN","Oman","West Asia","Asia",4520474,755.51760249,0,488.5556028,201.54523221,3415297678.59838,0,2208502900.01173,911079982.029267,"","","","",""
"OWID_WRL","World",NA,NA,7909295104,620.766417,171.00197686,78.541327056,167.41199874,4909824782705.72,1352505098353.12,621206533545.684,1324110901985.14,"","","","",""
"PAK","Pakistan","South Asia","Asia",231402112,641.99136639,0,99.300007944,63.365405922,148558158068.412,0,22978231559.8584,14662888758.0881,"","","","",""
"PAN","Panama","Central America","Americas",4351264,945.3949278,154.86000927,0.39720055608,563.9725896,4113662915.11874,673836783.376217,1728324.48045089,2453993626.11325,"","","","",""
"PER","Peru","South America","Americas",33715464,281.493613278,57.857003693,30.584403972,426.08795922,9490687784.70433,1950675725.15921,1031167371.07942,14365753249.9154,"","","","",""
"PHL","Philippines","Southeast Asia","Asia",113880336,239.667880083,169.26248769,10.7243992056,151.01099013,27293458712.2597,19275668970.3331,1221298184.93186,17197182295.6971,"","","","",""
"PLW","Palau","Oceania Islands","Oceania",18050,462.024162687,175.7757302325,36.541844913,307.780093845,8339536.13650035,3172751.93069662,659580.30067965,5555430.69390225,"*","*","*","*","*"
"PNG","Papua New Guinea","Oceania Islands","Oceania",9949438,65.7261165975,112.39032462,61.963211916,39.97350987,653937922.067597,1118220566.60656,616499135.239103,397713958.093953,"","","","",""
"POL","Poland","Central Europe","Europe",38307724,112.863019917,691.57589848,0.79440011916,308.63495922,4323525416.78694,26492698644.0239,30431660.5103484,11823102834.551,"","","","",""
"PRK","North Korea","East Asia","Asia",25971910,53.112,54.2871,22.6404,18.9504,1379420083.92,1409939675.361,588014431.164,492178083.264,"","","","",""
"PRT","Portugal","Southern Europe","Europe",10290109,1424.06430498,482.92086915,88.575516588,304.98271377,14653776921.2534,4969308381.92824,911451720.421828,3138305367.8091,"","","","",""
"PRY","Paraguay","South America","Americas",6703802,986.55506805,126.05435076,15.0935952336,106.00376052,6613669838.30373,845043408.73359,101184473.914198,710628221.781497,"","","","",""
"QAT","Qatar","West Asia","Asia",2688239,907.55163195,2.831301231,521.1265986,545.41636779,2439715691.52164,7611214.38992221,1400912846.29387,1466209551.13142,"","","","",""
"ROU","Romania","Southeast Europe","Europe",19328558,335.269546473,454.23906155,111.216015888,219.21272961,6480276874.63708,8779786047.03475,2149645213.62013,4237065958.6052,"","","","",""
"RUS","Russia","Eastern Europe","Europe",145102752,882.32316639,349.85022462,59.182803972,310.11543948,128027519596.543,50764230380.1802,8587587727.41373,44998603706.2374,"","","","",""
"RWA","Rwanda","East Africa","Africa",13461891,179.916886722,11.448298769,43.294796028,14.607599013,2422021518.11091,154115750.163712,582829824.996169,196645905.684714,"","","","",""
"SAU","Saudi Arabia","West Asia","Asia",35950396,394.356633195,4.69680460885,183.109223832,409.21022961,14177277128.587,168851985.622783,6582849108.01304,14711269801.7304,"","*","","",""
"SDN","Sudan","East Africa","Africa",45657204,509.21123361,0,287.96996028,17.272498026,23249161172.0234,0,13147903222.3759,788613965.962679,"","","","",""
"SEN","Senegal","West Africa","Africa",16876726,398.33986722,14.895096307,139.814352336,78.466474338,6722672793.94832,251380459.116851,2359608515.24213,1324257187.58846,"","","","",""
"SGP","Singapore","Southeast Asia","Asia",5941063,239.667880083,89.2475,10.7243992056,120.11788026,1423881974.64955,530225020.0925,63714331.3176195,713627894.051116,"*","*","*","*","*"
"SHN","Saint Helena","Africa Islands","Africa",5428,248.29800249,62.53255958,87.381624744,280.01122884,1347761.55751572,339426.73340024,474307.459110432,1519900.95014352,"*","*","*","*","*"
"SLB","Solomon Islands","Oceania Islands","Oceania",707855,151.368124482,67.33521991,6.752352336,93.76432884,107146683.755206,47663572.089393,4779686.36279928,66371548.9910382,"","","","",""
"SLE","Sierra Leone","West Africa","Africa",8420642,104.232273444,13.048596307,17.4767952336,71.45878026,877702659.518031,109877558.103769,147165835.969452,601728806.326127,"","","","",""
"SLV","El Salvador","Central America","Americas",6314165,702.406764315,72.62906155,0.79440055608,269.94470727,4435112207.00102,458591878.421856,5015976.18718087,1704475422.57948,"","","","",""
"SOM","Somalia","East Africa","Africa",17065588,280.1658,8.2476995076,60.771596028,17.272498026,4781194114.4904,140751841.744504,1037103019.91628,294765335.042529,"*","*","*","*","*"
"SRB","Serbia","Southeast Europe","Europe",7296771,607.46843361,585.70972614,166.029576168,164.73029013,4432558049.78087,4273789744.11629,1211479796.52495,1201999203.84217,"","","","",""
"SSD","South Sudan","East Africa","Africa",10748278,780.74580249,0,144.977888784,37.604668416,8391672932.49561,0,1558262652.50351,404185430.232988,"","","","",""
"STP","Sao Tome and Principe","Africa Islands","Africa",223118,180.574326975,62.53255958,2.383114602,201.43946529,40289382.686008,13952139.6283704,531715.763769036,44944770.6165742,"","","","",""
"SUR","Suriname","South America","Americas",612989,316.680804564,95.27954772,1.58880246264,475.33995012,194121849.708882,58405314.6773351,973918.432771231,291378160.684109,"","","","",""
"SVK","Slovakia","Central Europe","Europe",5447621,435.51833361,525.88312614,3.5747996028,127.71778026,2372538820.05884,2864811961.50591,19474153.3870049,695758061.817761,"","","","",""
"SVN","Slovenia","Southeast Europe","Europe",2119408,803.9835639,280.29895851,34.556431776,247.44112701,1703969197.19817,594067855.057762,73239177.9575086,524428704.11401,"","","","",""
"SWE","Sweden","Northern Europe","Europe",10467095,1432.6968639,341.72574772,45.28081986,160.78238883,14996174180.6434,3576875865.33127,473958643.152507,1682924538.21055,"","","","",""
"SWZ","Eswatini","Southern Africa","Africa",1192273,1046.96771079,23.142742143,76.262209344,69.780727275,1248271333.44673,27592466.603061,90925373.1211989,83197677.0503461,"","","","",""
"SYC","Seychelles","Africa Islands","Africa",106486,939.94112208,134.4050116,115.17070194,417.1422255,100090570.325811,14312252.0652376,12264067.3667828,44419807.024593,"","","","",""
"SYR","Syria","West Asia","Asia",21324366,197.842233195,2.5851002462,318.95163972,63.46410987,4218860190.90753,55125623.7966589,6801441501.68942,1353331906.73209,"","","","",""
"TCA","Turks and Caicos Islands","Caribbean","Americas",45141,486.63850083,170.86038724,44.883278268,552.06577692,21967348.565967,7712808.74040084,2026076.06429579,24920801.2359457,"*","*","*","*","*"
"TCD","Chad","Central Africa","Africa",17179744,1815.10220166,1.7233996307,727.67024112,4.638899013,31182991158.3552,29607564.4651205,12501188458.8599,79695097.4851927,"","","","",""
"TGO","Togo","West Africa","Africa",8644829,45.1452046473,22.034902462,59.977207944,46.389002961,390272574.345914,190487963.815669,518492706.573322,401024998.078339,"","","","",""
"THA","Thailand","Southeast Asia","Asia",71601104,96.2655,161.3841,1.5888,111.8271,6892716077.112,11555279728.0464,113759834.0352,8006943817.1184,"","","","",""
"TJK","Tajikistan","Central Asia","Asia",9750078,1441.98794523,5.1701899058,267.31508364,34.544933871,14059494941.0522,50409754.8563627,2606342916.06652,336815799.747092,"","","","",""
"TKM","Turkmenistan","Central Asia","Asia",6341850,1758.6711,0.9848,804.33,84.5859,11153228315.535,6245453.88,5100940210.5,536431089.915,"","","","",""
"TLS","East Timor","Southeast Asia","Asia",1320944,98.256901245,68.935787037,19.46274042,94.8504039,129791864.158175,91060314.2718029,25709190.1813565,125292071.929282,"","","","",""
"TON","Tonga","Oceania Islands","Oceania",106034,462.024162687,175.7757302325,36.541844913,307.780093845,48990270.0663534,18638203.7794729,3874677.98350504,32635154.4707607,"*","*","*","*","*"
"TTO","Trinidad and Tobago","Caribbean","Americas",1525671,434.187466392,93.678426643,44.883278268,424.99916004,662427226.037749,142922458.854852,68477116.0384178,648408893.497387,"","","","",""
"TUN","Tunisia","North Africa","Africa",12262949,290.788239834,0.12310001231,217.66561986,174.50161974,3565921354.88411,1509569.1728569,2669222395.39657,2139904463.28901,"","","","",""
"TUR","Turkey","West Asia","Asia",84775408,1150.53856722,0,224.020776168,197.89347039,97537376455.8109,0,18991452700.1189,16776499692.8482,"","","","",""
"TUV","Tuvalu","Oceania Islands","Oceania",11229,462.024162687,175.7757302325,36.541844913,307.780093845,5188069.32281232,1973785.67478074,410328.376528077,3456062.6737855,"*","*","*","*","*"
"TWN","Taiwan","East Asia","Asia",23859904,541.74253278,464.08714772,178.342827804,389.0754987,12925924824.8477,11073074792.233,4255242750.49197,9283304047.73412,"","","","",""
"TZA","Tanzania","East Africa","Africa",63588332,529.792166805,8.1245996307,60.771596028,14.903699013,33688600193.7957,516629738.684029,3864364424.39834,947701360.866716,"","","","",""
"UGA","Uganda","East Africa","Africa",45853780,280.1658,34.468,34.9536,14.6076,12846660956.724,1580488089.04,1602754684.608,669813676.728,"","","","",""
"UKR","Ukraine","Eastern Europe","Europe",43531424,420.912580083,217.7639,11.1216,234.51118026,18322923990.527,9479572662.7936,484139085.1584,10208605620.6385,"","","","",""
"URY","Uruguay","South America","Americas",3426265,1079.49987303,255.18591839,25.4207614716,230.16805455,3698652632.46713,874334580.672513,87098265.3034916,788616749.422756,"","","","",""
"USA","United States","North America","Americas",336997632,2510.2059,365.9763,27.804,569.2029,845933444132.429,123333146468.122,9369882160.128,191820029427.533,"","","","",""
"UZB","Uzbekistan","Central Asia","Asia",34081452,2019.58366722,1.9695997538,197.408372196,63.858893091,68830343814.3424,67126819.4683465,6727963961.39611,2176403799.65405,"","","","",""
"VCT","Saint Vincent and the Grenadines","Caribbean","Americas",104340,668.48323365,185.98627512,36.141736416,822.0922374,69749540.599041,19405807.9460208,3771028.77764544,85777104.050316,"","","","",""
"VEN","Venezuela","South America","Americas",28199862,864.39799917,73.121418465,13.9020031776,160.68364935,24375904289.6701,2062013909.95725,392034571.131881,4531256737.32639,"","","","",""
"VGB","British Virgin Islands","Caribbean","Americas",31145,486.63850083,170.86038724,44.883278268,552.06577692,15156356.1083503,5321446.7605898,1397889.70165686,17194088.6221734,"*","*","*","*","*"
"VNM","Vietnam","Southeast Asia","Asia",97468024,343.900219917,336.06301231,9.1356007944,193.64942961,33519274888.4754,32755397749.3434,890428957.482998,18874627252.8138,"","","","",""
"VUT","Vanuatu","Oceania Islands","Oceania",319146,606.79324731,162.24275943,4.76631063,206.27912109,193655637.705997,51779127.7010468,1521148.97232198,65833156.3793891,"","","","",""
"WSM","Samoa","Oceania Islands","Oceania",218781,527.085984264,247.4072417,100.87910832,746.0016438,115316398.723262,54128003.7463677,22070432.1973579,163210985.632208,"","","","",""
"YEM","Yemen","West Asia","Asia",32981644,195.850486722,0.12309998769,156.496784112,106.00379013,6459471030.29173,4060039.97039596,5161521220.72684,3496179268.71837,"","","","",""
"ZAF","South Africa","Southern Africa","Africa",59392256,1157.84153361,69.674592614,133.061988084,437.43836052,68766820771.5977,4138131241.2264,7902851660.15388,25980451092.2241,"","","","",""
"ZMB","Zambia","East Africa","Africa",19473132,683.81693361,23.019698769,32.1731976168,31.978798026,13316057412.0228,448265632.728975,626512924.054032,622727355.161637,"","","","",""
"ZWE","Zimbabwe","Southern Africa","Africa",15993525,2905.88930415,8.986297538,75.865176168,72.347075325,46475413233.1556,143722574.331441,1213351591.67231,1157084757.88727,"","","","",""
